"Country","LifeExp","InfantSurvival","Under5Survival","TBFree","PropMD","PropRN","PersExp","GovtExp","TotExp","LifeExp_4.6","TotExp_.06"
"Nepal",62,0.954,0.941,0.99756,0.000194783,0.000427807,16,64,80,175793078.537263,1.30072473563783
"Netherlands",80,0.996,0.995,0.99994,0.003694914,0.014602357,3560,187191,190751,567824255.512695,2.07409196670087
"New Zealand",80,0.995,0.994,0.99991,0.001978261,0.008342512,2403,159960,162363,567824255.512695,2.05413614237464
"Nicaragua",71,0.971,0.964,0.99926,0.000369667,0.001059653,75,2183,2258,327935478.264607,1.58936423597571
"Niger",42,0.852,0.747,0.99686,2.15e-05,0.000205139,9,85,94,29305338.0706083,1.31337175190865
"Nigeria",48,0.901,0.809,0.99385,0.000241314,0.001453192,27,392,419,54163870.6073116,1.43659000781627
"Niue",70,0.966,0.958,0.99915,0.002,0.011,1082,35211,36293,307221060.568827,1.87754075194655
"Norway",80,0.997,0.996,0.99996,0.003753052,0.016133219,5910,380380,386290,567824255.512695,2.16378849820199
"Oman",74,0.99,0.989,0.99986,0.001684996,0.003737628,312,18886,19198,396703389.123585,1.80715481511392
"Pakistan",63,0.922,0.903,0.99737,0.000785061,0.000439274,15,105,120,189219777.507776,1.33275670087885
"Palau",69,0.99,0.989,0.99949,0.0015,0.00605,690,43890,44580,287544998.117969,1.90085243662963
"Panama",76,0.982,0.977,0.99957,0.001347628,0.002481144,351,17424,17775,448479425.91743,1.79882359927013
"Papua New Guinea",62,0.946,0.927,0.99487,4.43e-05,0.000458078,34,390,424,175793078.537263,1.43761286776606
"Paraguay",75,0.981,0.978,0.999,0.00105635,0.001705618,92,2006,2098,421970229.062743,1.58237105097057
"Peru",73,0.979,0.975,0.99813,0.001080104,0.000620102,125,4453,4578,372636297.907919,1.65821388471521
"Philippines",68,0.976,0.968,0.99568,0.001047598,0.005574863,37,882,919,268869165.007414,1.50590969988056
"Poland",75,0.994,0.993,0.99973,0.001993865,0.005233928,495,21266,21761,421970229.062743,1.82079365342676
"Portugal",79,0.997,0.996,0.99976,0.003416013,0.004629833,1800,75458,77258,535901064.771775,1.9646111642592
"Qatar",77,0.991,0.989,0.99927,0.002618758,0.005943971,2186,163680,165866,476274506.60849,2.05676864180708
"Republic of Korea",79,0.995,0.995,0.99877,0.001561811,0.001915942,973,41715,42688,535901064.771775,1.89591275552665
